Index,attribute,Name,trading_symbol,Weightage (%)
SENSEX,BSE_EQ,Tata Consultancy Services Ltd,TCS,0.0456
SENSEX,BSE_EQ,Tech Mahindra Ltd,TECHM,0.0118
Nifty50,NSE_EQ,Tech Mahindra Ltd,TECHM,0.0103
BANKEX,BSE_EQ,THE FEDERAL BANK LTD,FEDERALBNK,0.0122
SENSEX,BSE_EQ,Titan Company Ltd,TITAN,0.0158
Nifty50,NSE_EQ,Titan Company Ltd,TITAN,0.0121
Nifty50,NSE_EQ,Trent Ltd,TRENT,0.012
SENSEX,BSE_EQ,UltraTech Cement Ltd,ULTRACEMCO,0.0145
Nifty50,NSE_EQ,UltraTech Cement Ltd,ULTRACEMCO,0.0117
Nifty Midcap Select,NSE_EQ,UPL Ltd.,UPL,0.0319
Nifty Midcap Select,NSE_EQ,Vodafone Idea Ltd.,IDEA,0.0392
Nifty Midcap Select,NSE_EQ,Voltas Ltd.,VOLTAS,0.0387
SENSEX,BSE_EQ,Wipro Ltd,WIPRO,0.0092
Nifty50,NSE_EQ,Wipro Ltd,WIPRO,0.0083
BANKEX,BSE_EQ,YES BANK LTD,YESBANK,0.0152
